MaHP,TenHP,ThoiLuong,TinChiHocTap,TinChiHocPhi,HeSo,MaNhomHP
IT4125,Đồ án tốt nghiệp,6(0-0-12-12),6,15,0.5,7
IT4995E,Thesis,6(0-0-12-12),6,15,0.5,7
IT4997,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5,7
IT5124,Đồ án tốt nghiệp,6(0-0-12-12),6,15,0.5,7
IT4125E,Bachelor Thesis,6(0-0-12-12),6,15,0.5,7
IT4995,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5,7
EM1170,Pháp luật đại cương,2(2-0-0-4),2,2,0.5,210
SSH1111,Triết học Mác - Lênin,3(2-1-0-6),3,3,0.5,210
SSH1121,Kinh tế chính trị Mác - Lênin,2(2-0-0-4),2,2,0.5,210
SSH1131,Chủ nghĩa xã hội khoa học,2(2-0-0-4),2,2,0.5,210
SSH1141,Lịch sử Đảng cộng sản Việt Nam,2(2-0-0-4),2,2,0.5,210
SSH1151,Tư tưởng Hồ Chí Minh,2(2-0-0-4),2,2,0.5,210
PE1014,Lý luận TDTT,0(0-2-0-2),0,1.5,1,220
PE1015,Thể dục tay không,0(0-2-0-2),0,1.5,1,220
PE2261,Karatedo,0(0-2-0-2),0,1.5,1,220
PE3304,Chuyên sâu Bóng rổ 4,0(0-2-0-2),0,1.5,1,220
PE1010,Giáo dục thể chất A,0(0-2-0-2),0,1.5,1,220
PE1011,Chuyên sâu bóng đá A,0(0-2-0-2),0,1.5,1,220
PE1012,Chuyên sâu bóng chuyền A,0(0-2-0-2),0,1.5,1,220
PE1013,Chuyên sâu bóng rổ A,0(0-2-0-2),0,1.5,1,220
PE3101,Chuyên sâu Bóng chuyền 1,,0,1.5,1,220
PE3201,Chuyên sâu Bóng đá 1,,0,1.5,1,220
PE3301,Chuyên sâu Bóng rổ 1,,0,1.5,1,220
PE1024,Bơi lội,,0,1.5,1,220
PE3102,Chuyên sâu Bóng chuyền 2,,0,1.5,1,220
PE3202,Chuyên sâu Bóng đá 2,,0,1.5,1,220
PE3302,Chuyên sâu Bóng rổ 2,,0,1.5,1,220
PE2101,Bóng chuyền 1,,0,1.5,1,220
PE2151,Erobic,,0,1.5,1,220
PE2201,Bóng đá 1,,0,1.5,1,220
PE2251,Taekwondo 1,,0,1.5,1,220
PE2301,Bóng rổ 1,,0,1.5,1,220
PE2401,Bóng bàn 1,,0,1.5,1,220
PE2501,Cầu lông 1,,0,1.5,1,220
PE3103,Chuyên sâu Bóng chuyền 3,,0,1.5,1,220
PE3203,Chuyên sâu Bóng đá 3,,0,1.5,1,220
PE3303,Chuyên sâu Bóng rổ 3,,0,1.5,1,220
PE2601,Chạy,,0,1.5,1,220
PE2701,Nhảy cao,,0,1.5,1,220
PE2801,Nhảy xa,,0,1.5,1,220
PE2901,"Xà kép, xà lệch",,0,1.5,1,220
PE2102,Bóng chuyền 2,,0,1.5,1,220
PE2202,Bóng đá 2,,0,1.5,1,220
PE2252,Taekwondo 2,,0,1.5,1,220
PE2302,Bóng rổ 2,,0,1.5,1,220
PE2402,Bóng bàn 2,,0,1.5,1,220
PE2502,Cầu lông 2,,0,1.5,1,220
PE3104,Chuyên sâu Bóng chuyền 4,,0,1.5,1,220
PE3204,Chuyên sâu Bóng đá 4,,0,1.5,1,220
PE2103,Bóng chuyền 3,,0,1.5,1,220
PE2203,Bóng đá 3,,0,1.5,1,220
PE2253,Taekwondo 3,,0,1.5,1,220
PE2303,Bóng rổ 3,,0,1.5,1,220
PE2403,Bóng bàn 3,,0,1.5,1,220
PE2503,Cầu lông 3,,0,1.5,1,220
PE3105,Chuyên sâu Bóng chuyền 5,,0,1.5,1,220
PE3205,Chuyên sâu Bóng đá 5,,0,1.5,1,220
PE3305,Chuyên sâu Bóng rổ 5,,0,1.5,1,220
PE1020,Giáo dục thể chất B,0(0-2-0-2),0,1.5,1,220
PE1021,Chuyên sâu bóng đá B,0(0-2-0-2),0,1.5,1,220
IT3283E,Computer Architecture,,2,,0.5,300
IT3191E,Machine Learning and Data Mining,,3,,0.5,300
PE1022,Chuyên sâu bóng chuyền B,0(0-2-0-2),0,1.5,1,220
PE1023,Chuyên sâu bóng rổ B,0(0-2-0-2),0,1.5,1,220
PE1030,Giáo dục thể chất C,0(0-2-0-2),0,1.5,1,220
PE1031,Chuyên sâu bóng đá C,0(0-2-0-2),0,1.5,1,220
PE1032,Chuyên sâu bóng chuyền C,0(0-2-0-2),0,1.5,1,220
PE1033,Chuyên sâu bóng rổ C,0(0-2-0-2),0,1.5,1,220
PE2010,Giáo dục thể chất D,0(0-2-0-2),0,1.5,1,220
PE2011,Bóng đá I,0(0-2-0-2),0,1.5,1,220
