,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,TE3200,Kết cấu ô tô,3(3-1-0-6),3,4,0.7
,TE3210,Lý thuyết ô tô,3(3-1-0-6),3,4,0.7
,TE3220,"Kỹ thuật bảo dưỡng, sửa chữa ô tô",4(3-1-1-8),4,5.5,0.7
,TE3400,Máy thủy khí,3(3-0-1-6),3,4.5,0.7
,TE3410,Lý thuyết cánh I,2(2-1-0-4),2,3,0.7
,TE3420,Bơm quạt cánh dẫn I,2(2-0-1-4),2,3.5,0.7
,TE3430,Tua bin nước I,2(2-1-0-4),2,3,0.7
,TE3460,Máy thủy lực thể tích,2(2-1-0-4),2,3,0.7
,TE3610,Lý thuyết tàu thủy,4(3-1-1-8),4,5.5,0.7
,TE3650,Kết cấu thân tàu và phương tiện nổi,3(3-1-0-6),3,4,0.7
,TE3660,Lý thuyết thiết kế tàu thủy,4(4-1-0-8),4,5,0.7
,TE3801,Kết cấu máy bay,2(2-1-0-4),2,3,0.7
,TE3811,Khí động lực học I,3(2-1-1-6),3,4.5,0.7
,TE3821,Hệ thống thủy lực và khí nén trên máy bay,3(3-1-0-6),3,4,0.7
,TE3831,Kỹ thuật điện-điện tử trên máy bay,3(3-0-0-6),3,3,0.7
,TE3841,Luật hàng không,2(2-0-0-4),2,2,0.7
,TE3851,Các hệ thống trên máy bay,3(3-1-0-6),3,4,0.7
,TEX3040,Tiếng Anh CN Dệt may,3(3-1-0-6),3,4,0.7
,TEX3060,Thực hành kiểm tra và phân tích vật liệu dệt may,2(0-0-4-4),2,6,0.5
,TEX3090,Cơ sở mỹ thuật sản phẩm dệt may,2(2-1-0-4),2,3,0.6
