,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,IT5022E,Graduation Research 2,3(0-0-6-6),3,7.5,0.5
,MSE3081,An toàn lao động,2(2-0-0-4),2,2,0.7
,MSE2210,Khoáng vật và tuyển khoáng,3(3-1-0-6),3,4,0.7
,MSE2310,Cơ sở Kỹ thuật đúc,3(3-0-0-6),3,3,0.7
,MSE3121,Nguyên nhiên liệu luyện kim,3(2-1-1-6),3,4.5,0.7
,MSE3211,Thủy luyện & điện phân,3(3-0-1-6),3,4.5,0.7
,MSE3221,Đồ án thiết kế công nghệ và thiết bị luyện kim màu nặng,2(0-4-0-4),2,4,0.7
,MSE3231,Luyện kim loại màu nặng,3(3-0-1-6),3,4.5,0.7
,MSE3310,Vật liệu và công nghệ khuôn cát,3(3-0-0-6),3,3,0.7
,MSE3320,Hợp kim đúc,3(3-0-1-6),3,4.5,0.7
,MSE3410,Lý thuyết cán dọc,3(2-2-0-6),3,4,0.7
,EE4568,Máy điện trong năng lượng tái tạo,2(2-1-0-4),2,3,0.5
,EE4572,Bảo trì dự báo,2(2-1-0-4),2,3,0.5
,EE4571,"Giám sát, chuẩn đoán sự cố trong TBĐ",2(2-1-0-4),2,3,0.5
,EE4573,Đánh giá tuổi thọ và độ tin cậy của TBĐ,2(2-1-0-4),2,3,0.5
,EE4467,Phân tích độ tin cậy,2(2-1-0-4),2,3,0.7
,EE5160,Vận hành nhà máy điện,2(2-0-0-4),2,2,0.7
,EE4462,Nhà máy điện gió và mặt trời,2(2-1-0-4),2,3,0.7
,EE5001,Thực tập tốt nghiệp,3(0-0-6-12),3,7.5,0.5
,EE5002,Đồ án tốt nghiệp,9(0-0-18-36),9,22.5,0.5
