,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MI1010,Giải tích I,3(3-2-0-6),3,5,0.7
,MI1030,Đại số,3(3-2-0-6),3,5,0.7
,IT1010,Tin học đại cương,3(3-1-1-6),3,5.5,0.6
,FL1010,Tiếng Anh I,3(3-2-0-6),3,5,0.7
,ME2010,Hình học họa hình,2(1-1-0-4),2,2,0.7
,SSH1030,Lịch sử Đảng CSVN,2(2-0-2-4),2,5,0.7
,PE1010,Giáo dục thể chất A,0(0-2-0-2),0,1.5,1
,MI1020,Giải tích II,3(2-2-0-6),3,4,0.7
,MI1040,Phương trình vi phân và chuỗi,2(2-1-0-4),2,3,0.7
,PH1010,Vật lý đại cương I,4(3-2-1-8),4,6.5,0.7
,FL1020,Tiếng Anh II,3(3-1-0-6),3,4,0.7
,ME2020,Vẽ kỹ thuật,2(1-1-0-4),2,2,0.7
,SSH1010,Triết học Mác-Lênin,4(3-0-3-6),4,7.5,0.7
,PE1020,Giáo dục thể chất B,0(0-2-0-2),0,1.5,1
,MIL1010,Giáo dục quốc phòng I,0(1-0-2-0),0,3,1
,SSH1020,Kinh tế chính trị,3(3-0-2-6),3,6,0.7
,SSH1040,CNXH khoa học,2(2-0-2-4),2,5,0.7
,SSH1050,Tư tưởng HCM,2(2-0-0-4),2,2,0.5
,FL2010,Tiếng Anh KHKT,2(2-1-0-4),2,3,0.7
,PE1030,Giáo dục thể chất C,0(0-2-0-2),0,1.5,1
